Location Name,Latitude,Longitude,Crime Type,Crime Frequency,Risk Level
Pari Chowk,28.474387,77.50399,Eve Teasing,25,High
Alpha Commercial Belt,28.471995,77.497316,Robbery,15,Medium
Knowledge Park III,28.46979,77.503097,Assault,30,High
Gamma 1 Market,28.475367,77.495869,Eve Teasing,10,Medium
Surajpur Industrial Area,28.495533,77.495836,Robbery,8,Low
Sector 62 Metro Station,28.626522,77.375109,Harassment,20,High
Jaypee Greens,28.451684,77.518497,Kidnapping,5,Low
Jagat Farm,28.475963,77.507313,Eve Teasing,18,High
Noida International University,28.459545,77.50934,Harassment,12,Medium
Delta 1 Park,28.462595,77.493112,Assault,22,High
Kasna Road,28.472653,77.503113,Robbery,14,Medium
Galgotias University,28.462092,77.536215,Eve Teasing,6,Low
Bennett University,28.52474,77.558791,Harassment,9,Medium
